date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Jun%202020%2013:42:58%20GMT	http://kotes.xyz/football	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/football.0.delayed	(from )
15:42:59	30956/30956	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Jun%202020%2013:42:59%20GMT	http://kotes.xyz/football/	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/football/index.html	(from )
15:42:59	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20Jun%202020%2013:42:59%20GMT	http://kotes.xyz/robots.txt		(from )
15:42:59	28474/28474	---M-Z	200	added ('OK')	text/css	etag:%226f3a-5a0444695dc80-gzip%22	http://kotes.xyz/wp-content/plugins/user-registration/assets/css/user-registration.css?ver=1.8.1	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/user-registration/assets/css/user-registrationc245.css	(from http://kotes.xyz/football/)
15:43:00	729/729	---M-Z	200	added ('OK')	text/css	etag:%222d9-5a0444695dc80-gzip%22	http://kotes.xyz/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen.css?ver=1.8.1	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/user-registration/assets/css/user-registration-smallscreenc245.css	(from http://kotes.xyz/football/)
15:43:00	6219/6219	---M--	200	added ('OK')	application/rss+xml	etag:%22c598a5331170e8ef02d44d87569e6252%22	http://kotes.xyz/feed/	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/feed/index.html	(from http://kotes.xyz/football/)
15:43:00	1694/1694	---M--	200	added ('OK')	application/rss+xml	etag:%22087464598ca8fce1ab9c11f628ee8e07%22	http://kotes.xyz/comments/feed/	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/comments/feed/index.html	(from http://kotes.xyz/football/)
15:43:00	3366/3366	---M-Z	200	added ('OK')	text/css	etag:%22d26-5a0444695dc80-gzip%22	http://kotes.xyz/wp-content/plugins/user-registration/assets/css/my-account-layout.css?ver=1.8.1	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/user-registration/assets/css/my-account-layoutc245.css	(from http://kotes.xyz/football/)
15:43:00	24621/24621	---M-Z	200	added ('OK')	text/css	etag:%22602d-5a0444695dc80-gzip%22	http://kotes.xyz/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min.css?ver=8.17.1	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min782a.css	(from http://kotes.xyz/football/)
15:43:01	47558/47558	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20May%202019%2016:08:57%20GMT	https://c0.wp.com/c/5.3.3/wp-includes/css/dashicons.min.css	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/c/5.3.3/wp-includes/css/dashicons.min.css	(from http://kotes.xyz/football/)
